"K","partitions","parallel_qr","reps","elapsed_mean","elapsed_median","elapsed_min","elapsed_max","workers","opt"
399,400,FALSE,1,1482.17,1482.17,1482.17,1482.17,4,TRUE
399,400,TRUE,1,1540.41,1540.41,1540.41,1540.41,4,TRUE
